title,description,tags,user
Combine multiple events based on timestamp,"I have a large dataset with aircraft movements at an airport. I want to combine the events such that I get only three types of events:  Arriving: starts with ""AR"" and is then followed by &...","['python', 'pandas', 'dataframe', 'datetime', 'data-science']",Hans.nl
How can I get the values from wolfram wlexpr when I use python to solve equations?,"from wolframclient.evaluation import WolframLanguageSession from wolframclient.language import wl, wlexpr, Global  wlpath = '/usr/local/Wolfram/WolframEngine/13.2/Executables/MathKernel'  sess = ...","['python', 'wolfram-mathematica']",Zhenyu Lin
How to access my LinkedList data node or ref?,ON line 104 .data function is not calling any data and on line 110 .ref function is not calling any data. Whats the problem?,"['python', 'linked-list']",sai Rohit
Log file and console log message are different in formats,"If you need to record the whole test suite logging calls to a file, you can pass --log-file=/path/to/log/file. This log file is opened in write mode which means that it will be overwritten at each run ...","['python', 'logging', 'pytest']",J. Doe
pydantic: how to type hint to mypy that a function accepts any model subclass,Best asked through code: from pydantic import BaseModel  class Role(BaseModel):     class Config:         extra = Extra.forbid      someprop: sometype = somedefault  class Administrator(Role):      ...,"['python', 'mypy', 'pydantic']",Tommy
What is the correct way to define a vectorized (jax.vmap) function in a class?,"I want to add a function, which is vectorized by jax.vmap, as a class method. However, I am not sure where to define this function within the class. My main goal is to avoid, that the function is ...","['python', 'vector', 'parallel-processing', 'vectorization', 'jax']",yuki
Pandas - How to convert columns to row and assign each of them new value in different column? [duplicate],"I have a dataframe like this:  and I want to transform this dataframe into this:  As you can see, every column values became a new row, and first column value of each row became the ""cat"" ...","['python', 'pandas', 'dataframe']",ByUnal
Why can't I import only one function from a module?,(Python 3.11.1) I only want to use the split() method from the re module but it doesn't work. My IDE says that re is not defined. from re import split def to_camel_case(text):     first_big_letter = ...,"['python', 'module']",ThemeSong3
"how to retrieve ""travelDistance"" Value from this BING Maps json.file response in python","`ۥz      Xs  { ""authenticationResultCode"":""ValidCredentials"", ""brandLogoUri"":""http://dev.virtualearth.net/Branding/logo_powered_by.png"", ""copyright"":&...","['python', 'json', 'google-maps', 'bing-maps', 'python-jsons']",Kishorkumaar Nallamuthu
How to get data from a query in metabase that requires a filter argument,I created this code to get data from metabase: def ret_metabase(question):     question_id = str(question)     file_name = 'meta_results.csv'     # Do not modify below this     base_url = 'api_url'    ...,"['python', 'python-requests']",Esmael Maher
I want a nice nature code in python for user [closed],"The user should enter his own password, and in this way I will check that the password is correct, if the password does not have a number, the program will give him a choice, and if the tag is less ...",['python'],CammacCazy
Boolean null values in pandas,I have a column with datatype string. I want to convert it to boolean using pandas. The dataframe column has values such as: 'True' 'False' 'None'  I am using pandas to convert it to bool. df[column] =...,"['python', 'python-3.x', 'pandas', 'dataframe']",Avenger
"How to open a "".pyc"" file with Pycharm?",I was programming some code in pycharm and I don't know how it came out and saved like this: Eq_FD.cpython-39.pyc. Whereas before it was just Eq_FD. When I tried to open it again in pycharm it was ...,"['python', 'file', 'pycharm']",User8563
How do I extract meaningful simple rules from this classification problem?,"I have a problem of this type: A customer creates an order by hand, which might be erroneous. Submitting a wrong order is costly, which is why we try to reduce the error rate. I need to detect what ...","['python', 'scikit-learn', 'classification', 'rules', 'interaction']",Dudelstein
Selenium unable to click checkboxes [error: element could not be scrolled into view],"I'm trying to write a piece of code that is able to click on all checkboxes that match my description. the code is: try:     myElem = WebDriverWait(driver, 15).until(EC.presence_of_element_located((by....","['python', 'selenium-webdriver']",Andreas Ravnholt
Can't return value in fastapi post method,"This method designed, to return status of queue, that i'm using, but it doesn't return anything @app.post('/add_data/') def add_data(d: Data) -> dict:     if len(main_deque) >= 100:         ...","['python', 'fastapi']",Nikita Pupkin
